Unit,Chinese,Type,English
60,(過去)去,pv,went
60,比較好,adj/adv,better
60,比較不好的/比較壞,adj/adv,worse
60,一個漢堡,cn,a hamburger
60,(過去)做,pv,did
60,除了…之外,prep,except
60,對(你)有好處/有益,adj phr,good for you
60,對你的健康有好處,adj phr,good for your health
60,小美人魚,name,The Little Mermaid
60,聖誕節,name,Christmas
60,有機會,v phr,to get to verb
60,獅子王,name,The Lion King
60,一台個人電腦,cn phr, a PC/personal computer
60,一台蘋果電腦,cn,a Mac
60,根本不知道,v phr,to have no idea
60,(過去)拿/得到/變得/受到,pv,got
60,一份講義,cn,a handout
60,變成,v,to become
60,外面/戶外,prep/adv,outside
60,落下,v phr,to go down
60,已經,adv,already
60,開始 + 形容詞,v phr,to be getting + adj
61,還沒,adv phr,not yet
61,生氣的/瘋狂的,adj,mad
61,想睡的,adj,sleepy
61,一個分數,cn,a score
61,越來越 + 形容詞,v phr,to be getting COA
61,強調,v,to emphasize
61,混亂的/困惑的,adj,confused
61,一個考試訂正,cn phr,a test correction
61,一份報告,cn,a report
61,一個學期,cn,a semester
61,一隻企鵝,cn,a penguin
61,一片雲,cn,a cloud
61,一隻駱駝,cn,a camel
61,恐怖的,adj,scary
61,一根熱狗,cn phr,a hot dog
61,(過去)做/讓/使,pv,made
61,(過去)吃,pv,ate
61,(過去)喝,pv,drank
61,爆米花,ucn,popcorn
61,一個碗,cn,a bowl
61,麥片(早餐),ucn,cereal
61,粥,ucn,congee
62,豆漿,ucn phr,soybean milk
62,一個饅頭,cn,a bun
62,(過去)有,pv,had
62,(過去)拿走/帶去,pv,took
62,(過去)看到,pv,saw
62,(過去)買,pv,bought
62,一個假期,cn,a vacation
62,一台相機,cn,a camera
62,(跑道的)一圈,cn,a lap
62,一半,cn,(a) half
62,(過去)寫,pv,wrote
62,一個胃痛,cn,a stomachache
62,一個頭痛,cn,a headache
62,滑雪,v,to ski
62,寫信,v phr,to write a letter
62,(過去)跑/經營,pv,ran
62,(過去)讀,pv,read
62,電/電力,ucn,power
62,(過去)不會/不能/不可能/不行,pv (hv),couldn't
62,不動/沒有運作,v phr,to not work
63,裡面,prep,inside
63,亮的,adj,shiny
63,(過去)會/能/可以/行,pv (hv),could
63,一間酒吧,cn,a bar
